NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Vatovavy Fitovinany,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.978247,0.977431,0.976614,0.975798,0.974982,0.974165,0.973349,0.972532,0.971716,0.970899,0.970083,0.969267,0.968450,0.967634,0.966817,0.966001,0.965184,0.964368,0.963552,0.962735,0.961919,0.961102,0.960286,0.959469,0.958653,0.958437,0.958221,0.958005,0.957789,0.957573,0.957356,0.957140,0.956924,0.956708,0.956492,0.956276,0.956060,0.955844,0.955628,0.955412,0.955196,0.954979,0.954763,0.954547,0.954331,0.954115,0.953899,0.953683,0.953467,0.953251,0.953035,0.952819,0.952602,0.952386,0.952170,0.951954,0.951738,0.951522,0.951306,0.951090
Betsiboka,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.831707,0.827730,0.823754,0.819778,0.815802,0.811825,0.807849,0.803873,0.799897,0.795920,0.791944,0.787968,0.783991,0.780015,0.776039,0.772063,0.768086,0.764110,0.760134,0.756158,0.752181,0.748205,0.744229,0.740253,0.736276,0.733336,0.730395,0.727455,0.724515,0.721574,0.718634,0.715693,0.712753,0.709812,0.706872,0.703932,0.700991,0.698051,0.695110,0.692170,0.689229,0.686289,0.683349,0.680408,0.677468,0.674527,0.671587,0.668646,0.665706,0.662766,0.659825,0.656885,0.653944,0.651004,0.648063,0.645123,0.642182,0.639242,0.636302,0.633361
Boeny,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.800690,0.796214,0.791737,0.787261,0.782784,0.778308,0.773831,0.769355,0.764878,0.760401,0.755925,0.751448,0.746972,0.742495,0.738019,0.733542,0.729066,0.724589,0.720113,0.715636,0.711159,0.706683,0.702206,0.697730,0.693253,0.689975,0.686697,0.683418,0.680140,0.676862,0.673584,0.670305,0.667027,0.663749,0.660471,0.657192,0.653914,0.650636,0.647358,0.644079,0.640801,0.637523,0.634245,0.630966,0.627688,0.624410,0.621131,0.617853,0.614575,0.611297,0.608018,0.604740,0.601462,0.598184,0.594905,0.591627,0.588349,0.585071,0.581792,0.578514
Melaky,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.812138,0.810508,0.808878,0.807248,0.805618,0.803988,0.802358,0.800728,0.799099,0.797469,0.795839,0.794209,0.792579,0.790949,0.789319,0.787689,0.786059,0.784430,0.782800,0.781170,0.779540,0.777910,0.776280,0.774650,0.773020,0.770284,0.767547,0.764810,0.762073,0.759336,0.756599,0.753862,0.751125,0.748388,0.745651,0.742915,0.740178,0.737441,0.734704,0.731967,0.729230,0.726493,0.723756,0.721019,0.718282,0.715546,0.712809,0.710072,0.707335,0.704598,0.701861,0.699124,0.696387,0.693650,0.690913,0.688177,0.685440,0.682703,0.679966,0.677229
Sofia,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.841354,0.838331,0.835309,0.832287,0.829265,0.826243,0.823221,0.820199,0.817177,0.814155,0.811133,0.808111,0.805088,0.802066,0.799044,0.796022,0.793000,0.789978,0.786956,0.783934,0.780912,0.777890,0.774867,0.771845,0.768823,0.767001,0.765178,0.763355,0.761533,0.759710,0.757887,0.756065,0.754242,0.752419,0.750597,0.748774,0.746952,0.745129,0.743306,0.741484,0.739661,0.737838,0.736016,0.734193,0.732370,0.730548,0.728725,0.726903,0.725080,0.723257,0.721435,0.719612,0.717789,0.715967,0.714144,0.712321,0.710499,0.708676,0.706853,0.705031
Alaotra-Mangoro,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.968159,0.967123,0.966087,0.965050,0.964014,0.962978,0.961941,0.960905,0.959868,0.958832,0.957796,0.956759,0.955723,0.954686,0.953650,0.952614,0.951577,0.950541,0.949505,0.948468,0.947432,0.946395,0.945359,0.944323,0.943286,0.943097,0.942907,0.942718,0.942528,0.942339,0.942149,0.941960,0.941770,0.941581,0.941391,0.941201,0.941012,0.940822,0.940633,0.940443,0.940254,0.940064,0.939875,0.939685,0.939496,0.939306,0.939117,0.938927,0.938738,0.938548,0.938358,0.938169,0.937979,0.937790,0.937600,0.937411,0.937221,0.937032,0.936842,0.936653
Analanjirofo,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.991518,0.990567,0.989616,0.988665,0.987714,0.986763,0.985811,0.984860,0.983909,0.982958,0.982007,0.981056,0.980105,0.979153,0.978202,0.977251,0.976300,0.975349,0.974398,0.973447,0.972495,0.971544,0.970593,0.969642,0.968691,0.968331,0.967971,0.967611,0.967251,0.966891,0.966531,0.966171,0.965811,0.965451,0.965091,0.964731,0.964371,0.964011,0.963651,0.963291,0.962931,0.962571,0.962211,0.961851,0.961491,0.961131,0.960771,0.960411,0.960051,0.959691,0.959331,0.958971,0.958611,0.958251,0.957891,0.957531,0.957172,0.956812,0.956452,0.956092
Atsinanana,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.984718,0.983742,0.982766,0.981790,0.980815,0.979839,0.978863,0.977887,0.976912,0.975936,0.974960,0.973984,0.973008,0.972033,0.971057,0.970081,0.969105,0.968129,0.967154,0.966178,0.965202,0.964226,0.963251,0.962275,0.961299,0.961137,0.960974,0.960812,0.960650,0.960487,0.960325,0.960162,0.960000,0.959838,0.959675,0.959513,0.959351,0.959188,0.959026,0.958864,0.958701,0.958539,0.958377,0.958214,0.958052,0.957889,0.957727,0.957565,0.957402,0.957240,0.957078,0.956915,0.956753,0.956591,0.956428,0.956266,0.956104,0.955941,0.955779,0.955616
Androy,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.753512,0.748974,0.744436,0.739898,0.735360,0.730822,0.726284,0.721746,0.717208,0.712670,0.708132,0.703594,0.699056,0.694518,0.689980,0.685442,0.680904,0.676365,0.671827,0.667289,0.662751,0.658213,0.653675,0.649137,0.644599,0.639627,0.634654,0.629681,0.624709,0.619736,0.614764,0.609791,0.604818,0.599846,0.594873,0.589901,0.584928,0.579955,0.574983,0.570010,0.565038,0.560065,0.555092,0.550120,0.545147,0.540175,0.535202,0.530229,0.525257,0.520284,0.515312,0.510339,0.505366,0.500394,0.495421,0.490449,0.485476,0.480503,0.475531,0.470558
Anosy,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.794152,0.789829,0.785506,0.781183,0.776860,0.772538,0.768215,0.763892,0.759569,0.755246,0.750923,0.746601,0.742278,0.737955,0.733632,0.729309,0.724986,0.720664,0.716341,0.712018,0.707695,0.703372,0.699049,0.694727,0.690404,0.687843,0.685282,0.682720,0.680159,0.677598,0.675037,0.672476,0.669915,0.667354,0.664793,0.662232,0.659670,0.657109,0.654548,0.651987,0.649426,0.646865,0.644304,0.641743,0.639182,0.636620,0.634059,0.631498,0.628937,0.626376,0.623815,0.621254,0.618693,0.616132,0.613570,0.611009,0.608448,0.605887,0.603326,0.600765
Atsimo-Andrefana,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.566522,0.558281,0.550040,0.541799,0.533558,0.525317,0.517076,0.508834,0.500593,0.492352,0.484111,0.475870,0.467629,0.459388,0.451147,0.442906,0.434664,0.426423,0.418182,0.409941,0.401700,0.393459,0.385218,0.376977,0.368736,0.365705,0.362674,0.359643,0.356612,0.353582,0.350551,0.347520,0.344489,0.341458,0.338427,0.335397,0.332366,0.329335,0.326304,0.323273,0.320243,0.317212,0.314181,0.311150,0.308119,0.305089,0.302058,0.299027,0.295996,0.292965,0.289934,0.286904,0.283873,0.280842,0.277811,0.274780,0.271750,0.268719,0.265688,0.262657
Menabe,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.611585,0.606729,0.601874,0.597018,0.592163,0.587307,0.582451,0.577596,0.572740,0.567885,0.563029,0.558173,0.553318,0.548462,0.543607,0.538751,0.533895,0.529040,0.524184,0.519328,0.514473,0.509617,0.504762,0.499906,0.495050,0.492509,0.489968,0.487427,0.484886,0.482345,0.479803,0.477262,0.474721,0.472180,0.469639,0.467098,0.464556,0.462015,0.459474,0.456933,0.454392,0.451851,0.449309,0.446768,0.444227,0.441686,0.439145,0.436603,0.434062,0.431521,0.428980,0.426439,0.423898,0.421356,0.418815,0.416274,0.413733,0.411192,0.408651,0.406109
