NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Vatovavy Fitovinany,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.954450,0.950844,0.947239,0.943634,0.940028,0.936423,0.932818,0.929212,0.925607,0.922002,0.918396,0.914791,0.911186,0.907581,0.903975,0.900370,0.896765,0.893159,0.889554,0.885949,0.882343,0.878738,0.875133,0.871527,0.867922,0.864317,0.863049,0.861781,0.860513,0.859245,0.857978,0.856710,0.855442,0.854174,0.852906,0.851638,0.850370,0.849103,0.847835,0.846567,0.845299,0.844031,0.842763,0.841496,0.840228,0.838960,0.837692,0.836424,0.835156,0.833889,0.832621,0.831353,0.830085,0.828817,0.827549,0.826282,0.825014,0.823746,0.822478,0.821210,0.819942
Betsiboka,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.907178,0.902552,0.897926,0.893301,0.888675,0.884049,0.879424,0.874798,0.870173,0.865547,0.860921,0.856296,0.851670,0.847044,0.842419,0.837793,0.833167,0.828542,0.823916,0.819290,0.814665,0.810039,0.805413,0.800788,0.796162,0.791536,0.789782,0.788028,0.786273,0.784519,0.782765,0.781010,0.779256,0.777502,0.775747,0.773993,0.772239,0.770484,0.768730,0.766976,0.765221,0.763467,0.761713,0.759958,0.758204,0.756450,0.754695,0.752941,0.751187,0.749432,0.747678,0.745924,0.744169,0.742415,0.740661,0.738906,0.737152,0.735398,0.733643,0.731889,0.730135
Boeny,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.900010,0.896047,0.892084,0.888121,0.884158,0.880195,0.876232,0.872269,0.868306,0.864343,0.860380,0.856418,0.852455,0.848492,0.844529,0.840566,0.836603,0.832640,0.828677,0.824714,0.820751,0.816788,0.812825,0.808862,0.804899,0.800936,0.798618,0.796301,0.793984,0.791666,0.789349,0.787031,0.784714,0.782397,0.780079,0.777762,0.775444,0.773127,0.770809,0.768492,0.766175,0.763857,0.761540,0.759222,0.756905,0.754588,0.752270,0.749953,0.747635,0.745318,0.743000,0.740683,0.738366,0.736048,0.733731,0.731413,0.729096,0.726779,0.724461,0.722144,0.719826
Melaky,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.877223,0.874681,0.872140,0.869598,0.867056,0.864514,0.861973,0.859431,0.856889,0.854347,0.851805,0.849264,0.846722,0.844180,0.841638,0.839097,0.836555,0.834013,0.831471,0.828930,0.826388,0.823846,0.821304,0.818763,0.816221,0.813679,0.811797,0.809915,0.808032,0.806150,0.804268,0.802385,0.800503,0.798621,0.796739,0.794856,0.792974,0.791092,0.789210,0.787327,0.785445,0.783563,0.781681,0.779798,0.777916,0.776034,0.774151,0.772269,0.770387,0.768505,0.766622,0.764740,0.762858,0.760976,0.759093,0.757211,0.755329,0.753447,0.751564,0.749682,0.747800
Sofia,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.923366,0.920156,0.916945,0.913735,0.910525,0.907315,0.904104,0.900894,0.897684,0.894474,0.891263,0.888053,0.884843,0.881633,0.878422,0.875212,0.872002,0.868792,0.865581,0.862371,0.859161,0.855951,0.852740,0.849530,0.846320,0.843110,0.841982,0.840855,0.839728,0.838601,0.837474,0.836346,0.835219,0.834092,0.832965,0.831838,0.830710,0.829583,0.828456,0.827329,0.826202,0.825074,0.823947,0.822820,0.821693,0.820565,0.819438,0.818311,0.817184,0.816057,0.814929,0.813802,0.812675,0.811548,0.810421,0.809293,0.808166,0.807039,0.805912,0.804785,0.803657
Alaotra-Mangoro,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.950767,0.948327,0.945887,0.943447,0.941008,0.938568,0.936128,0.933688,0.931248,0.928809,0.926369,0.923929,0.921489,0.919049,0.916610,0.914170,0.911730,0.909290,0.906851,0.904411,0.901971,0.899531,0.897091,0.894652,0.892212,0.889772,0.888635,0.887499,0.886362,0.885225,0.884089,0.882952,0.881815,0.880679,0.879542,0.878405,0.877268,0.876132,0.874995,0.873858,0.872722,0.871585,0.870448,0.869312,0.868175,0.867038,0.865902,0.864765,0.863628,0.862492,0.861355,0.860218,0.859082,0.857945,0.856808,0.855671,0.854535,0.853398,0.852261,0.851125,0.849988
Analanjirofo,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.972941,0.971552,0.970162,0.968772,0.967382,0.965992,0.964602,0.963212,0.961823,0.960433,0.959043,0.957653,0.956263,0.954873,0.953483,0.952094,0.950704,0.949314,0.947924,0.946534,0.945144,0.943754,0.942365,0.940975,0.939585,0.938195,0.937132,0.936070,0.935007,0.933945,0.932882,0.931820,0.930757,0.929695,0.928632,0.927570,0.926507,0.925445,0.924382,0.923320,0.922257,0.921195,0.920132,0.919070,0.918007,0.916945,0.915882,0.914820,0.913757,0.912695,0.911632,0.910570,0.909507,0.908445,0.907382,0.906320,0.905257,0.904195,0.903132,0.902070,0.901007
Atsinanana,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.953477,0.951636,0.949795,0.947954,0.946113,0.944272,0.942430,0.940589,0.938748,0.936907,0.935066,0.933225,0.931383,0.929542,0.927701,0.925860,0.924019,0.922178,0.920336,0.918495,0.916654,0.914813,0.912972,0.911131,0.909290,0.907448,0.906206,0.904963,0.903720,0.902478,0.901235,0.899992,0.898750,0.897507,0.896264,0.895022,0.893779,0.892537,0.891294,0.890051,0.888809,0.887566,0.886323,0.885081,0.883838,0.882595,0.881353,0.880110,0.878867,0.877625,0.876382,0.875139,0.873897,0.872654,0.871412,0.870169,0.868926,0.867684,0.866441,0.865198,0.863956
Androy,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.780430,0.775830,0.771231,0.766632,0.762032,0.757433,0.752834,0.748234,0.743635,0.739036,0.734436,0.729837,0.725238,0.720638,0.716039,0.711440,0.706840,0.702241,0.697642,0.693042,0.688443,0.683843,0.679244,0.674645,0.670045,0.665446,0.662745,0.660043,0.657341,0.654640,0.651938,0.649237,0.646535,0.643834,0.641132,0.638430,0.635729,0.633027,0.630326,0.627624,0.624923,0.622221,0.619520,0.616818,0.614116,0.611415,0.608713,0.606012,0.603310,0.600609,0.597907,0.595206,0.592504,0.589802,0.587101,0.584399,0.581698,0.578996,0.576295,0.573593,0.570891
Anosy,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.816208,0.811741,0.807274,0.802807,0.798339,0.793872,0.789405,0.784938,0.780471,0.776004,0.771536,0.767069,0.762602,0.758135,0.753668,0.749201,0.744734,0.740266,0.735799,0.731332,0.726865,0.722398,0.717931,0.713463,0.708996,0.704529,0.703288,0.702047,0.700807,0.699566,0.698325,0.697084,0.695843,0.694603,0.693362,0.692121,0.690880,0.689639,0.688398,0.687158,0.685917,0.684676,0.683435,0.682194,0.680953,0.679713,0.678472,0.677231,0.675990,0.674749,0.673508,0.672268,0.671027,0.669786,0.668545,0.667304,0.666064,0.664823,0.663582,0.662341,0.661100
Atsimo-Andrefana,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.672564,0.663485,0.654405,0.645326,0.636246,0.627166,0.618087,0.609007,0.599928,0.590848,0.581768,0.572689,0.563609,0.554530,0.545450,0.536371,0.527291,0.518211,0.509132,0.500052,0.490973,0.481893,0.472813,0.463734,0.454654,0.445575,0.442290,0.439005,0.435721,0.432436,0.429151,0.425866,0.422582,0.419297,0.416012,0.412727,0.409443,0.406158,0.402873,0.399588,0.396304,0.393019,0.389734,0.386450,0.383165,0.379880,0.376595,0.373311,0.370026,0.366741,0.363456,0.360172,0.356887,0.353602,0.350318,0.347033,0.343748,0.340463,0.337179,0.333894,0.330609
Menabe,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.746730,0.740532,0.734335,0.728138,0.721940,0.715743,0.709546,0.703348,0.697151,0.690954,0.684756,0.678559,0.672362,0.666165,0.659967,0.653770,0.647573,0.641375,0.635178,0.628981,0.622783,0.616586,0.610389,0.604191,0.597994,0.591797,0.589762,0.587728,0.585694,0.583659,0.581625,0.579591,0.577556,0.575522,0.573488,0.571453,0.569419,0.567385,0.565350,0.563316,0.561282,0.559247,0.557213,0.555179,0.553144,0.551110,0.549076,0.547041,0.545007,0.542973,0.540938,0.538904,0.536870,0.534835,0.532801,0.530767,0.528732,0.526698,0.524664,0.522629,0.520595
