NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Analamanga,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.864909,0.861164,0.857419,0.853674,0.849928,0.846183,0.842438,0.838693,0.834948,0.831202,0.827457,0.823712,0.819967,0.816222,0.812476,0.808731,0.804986,0.801241,0.797496,0.793750,0.790005,0.786260,0.782515,0.778770,0.775024,0.771828,0.768632,0.765436,0.762240,0.759044,0.755848,0.752652,0.749456,0.746260,0.743064,0.739868,0.736671,0.733475,0.730279,0.727083,0.723887,0.720691,0.717495,0.714299,0.711103,0.707907,0.704711,0.701515,0.698319,0.695123,0.691926,0.688730,0.685534,0.682338,0.679142,0.675946,0.672750,0.669554,0.666358,0.663162
Bongolava,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.823471,0.817845,0.812220,0.806594,0.800969,0.795344,0.789718,0.784093,0.778468,0.772842,0.767217,0.761591,0.755966,0.750341,0.744715,0.739090,0.733465,0.727839,0.722214,0.716588,0.710963,0.705338,0.699712,0.694087,0.688462,0.686468,0.684474,0.682480,0.680486,0.678492,0.676499,0.674505,0.672511,0.670517,0.668523,0.666529,0.664536,0.662542,0.660548,0.658554,0.656560,0.654566,0.652573,0.650579,0.648585,0.646591,0.644597,0.642603,0.640610,0.638616,0.636622,0.634628,0.632634,0.630640,0.628647,0.626653,0.624659,0.622665,0.620671,0.618677
Itasy,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.787857,0.780269,0.772682,0.765094,0.757506,0.749919,0.742331,0.734744,0.727156,0.719569,0.711981,0.704394,0.696806,0.689219,0.681631,0.674044,0.666456,0.658869,0.651281,0.643694,0.636106,0.628519,0.620931,0.613344,0.605756,0.603946,0.602136,0.600326,0.598516,0.596706,0.594896,0.593086,0.591276,0.589466,0.587656,0.585846,0.584036,0.582226,0.580415,0.578605,0.576795,0.574985,0.573175,0.571365,0.569555,0.567745,0.565935,0.564125,0.562315,0.560505,0.558695,0.556885,0.555075,0.553265,0.551455,0.549645,0.547835,0.546025,0.544215,0.542405
Vakinankaratra,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.865321,0.859452,0.853583,0.847714,0.841844,0.835975,0.830106,0.824237,0.818368,0.812499,0.806630,0.800761,0.794892,0.789022,0.783153,0.777284,0.771415,0.765546,0.759677,0.753808,0.747939,0.742070,0.736200,0.730331,0.724462,0.723056,0.721649,0.720243,0.718837,0.717430,0.716024,0.714617,0.713211,0.711805,0.710398,0.708992,0.707585,0.706179,0.704773,0.703366,0.701960,0.700553,0.699147,0.697741,0.696334,0.694928,0.693521,0.692115,0.690709,0.689302,0.687896,0.686490,0.685083,0.683677,0.682270,0.680864,0.679458,0.678051,0.676645,0.675238
Diana,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.922114,0.920960,0.919807,0.918654,0.917501,0.916348,0.915195,0.914042,0.912889,0.911735,0.910582,0.909429,0.908276,0.907123,0.905970,0.904817,0.903663,0.902510,0.901357,0.900204,0.899051,0.897898,0.896745,0.895592,0.894438,0.893961,0.893483,0.893005,0.892528,0.892050,0.891572,0.891094,0.890617,0.890139,0.889661,0.889183,0.888706,0.888228,0.887750,0.887273,0.886795,0.886317,0.885839,0.885362,0.884884,0.884406,0.883928,0.883451,0.882973,0.882495,0.882018,0.881540,0.881062,0.880584,0.880107,0.879629,0.879151,0.878674,0.878196,0.877718
Sava,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948664,0.948372,0.948080,0.947787,0.947495,0.947203,0.946910,0.946618,0.946326,0.946033,0.945741,0.945449,0.945156,0.944864,0.944571,0.944279,0.943987,0.943694,0.943402,0.943110,0.942817,0.942525,0.942233,0.941940,0.941648,0.941054,0.940461,0.939867,0.939273,0.938680,0.938086,0.937492,0.936899,0.936305,0.935712,0.935118,0.934524,0.933931,0.933337,0.932743,0.932150,0.931556,0.930962,0.930369,0.929775,0.929182,0.928588,0.927994,0.927401,0.926807,0.926213,0.925620,0.925026,0.924432,0.923839,0.923245,0.922651,0.922058,0.921464,0.920871
Amoron'i mania,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.837754,0.833385,0.829016,0.824647,0.820279,0.815910,0.811541,0.807172,0.802803,0.798434,0.794066,0.789697,0.785328,0.780959,0.776590,0.772222,0.767853,0.763484,0.759115,0.754746,0.750378,0.746009,0.741640,0.737271,0.732902,0.730845,0.728788,0.726731,0.724674,0.722617,0.720560,0.718503,0.716446,0.714389,0.712332,0.710275,0.708218,0.706161,0.704104,0.702047,0.699990,0.697933,0.695876,0.693818,0.691761,0.689704,0.687647,0.685590,0.683533,0.681476,0.679419,0.677362,0.675305,0.673248,0.671191,0.669134,0.667077,0.665020,0.662963,0.660906
Atsimo-Atsinana,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.945706,0.944482,0.943258,0.942033,0.940809,0.939585,0.938360,0.937136,0.935911,0.934687,0.933463,0.932238,0.931014,0.929790,0.928565,0.927341,0.926116,0.924892,0.923668,0.922443,0.921219,0.919995,0.918770,0.917546,0.916321,0.915713,0.915104,0.914495,0.913886,0.913277,0.912668,0.912059,0.911450,0.910841,0.910233,0.909624,0.909015,0.908406,0.907797,0.907188,0.906579,0.905970,0.905361,0.904753,0.904144,0.903535,0.902926,0.902317,0.901708,0.901099,0.900490,0.899881,0.899273,0.898664,0.898055,0.897446,0.896837,0.896228,0.895619,0.895010
Haute matsiatra,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.725272,0.720891,0.716511,0.712130,0.707750,0.703369,0.698989,0.694608,0.690228,0.685847,0.681466,0.677086,0.672705,0.668325,0.663944,0.659564,0.655183,0.650803,0.646422,0.642042,0.637661,0.633281,0.628900,0.624520,0.620139,0.617111,0.614082,0.611053,0.608025,0.604996,0.601968,0.598939,0.595910,0.592882,0.589853,0.586824,0.583796,0.580767,0.577738,0.574710,0.571681,0.568652,0.565624,0.562595,0.559567,0.556538,0.553509,0.550481,0.547452,0.544423,0.541395,0.538366,0.535337,0.532309,0.529280,0.526252,0.523223,0.520194,0.517166,0.514137
Ihorombe,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.718150,0.714436,0.710723,0.707009,0.703296,0.699583,0.695869,0.692156,0.688442,0.684729,0.681016,0.677302,0.673589,0.669875,0.666162,0.662449,0.658735,0.655022,0.651308,0.647595,0.643882,0.640168,0.636455,0.632741,0.629028,0.627414,0.625800,0.624186,0.622572,0.620958,0.619344,0.617730,0.616116,0.614503,0.612889,0.611275,0.609661,0.608047,0.606433,0.604819,0.603205,0.601591,0.599977,0.598363,0.596749,0.595136,0.593522,0.591908,0.590294,0.588680,0.587066,0.585452,0.583838,0.582224,0.580610,0.578996,0.577382,0.575768,0.574155,0.572541
