NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Analamanga,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.869256,0.865460,0.861664,0.857869,0.854073,0.850277,0.846482,0.842686,0.838890,0.835095,0.831299,0.827503,0.823708,0.819912,0.816116,0.812321,0.808525,0.804729,0.800934,0.797138,0.793342,0.789547,0.785751,0.781955,0.778160,0.775194,0.772229,0.769263,0.766297,0.763332,0.760366,0.757401,0.754435,0.751469,0.748504,0.745538,0.742573,0.739607,0.736641,0.733676,0.730710,0.727745,0.724779,0.721814,0.718848,0.715882,0.712917,0.709951,0.706986,0.704020,0.701054,0.698089,0.695123,0.692158,0.689192,0.686226,0.683261,0.680295,0.677330,0.674364
Bongolava,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.823521,0.818688,0.813856,0.809024,0.804191,0.799359,0.794527,0.789694,0.784862,0.780030,0.775197,0.770365,0.765533,0.760700,0.755868,0.751036,0.746203,0.741371,0.736539,0.731706,0.726874,0.722042,0.717209,0.712377,0.707545,0.705702,0.703860,0.702017,0.700175,0.698332,0.696490,0.694648,0.692805,0.690963,0.689120,0.687278,0.685436,0.683593,0.681751,0.679908,0.678066,0.676224,0.674381,0.672539,0.670696,0.668854,0.667011,0.665169,0.663327,0.661484,0.659642,0.657799,0.655957,0.654115,0.652272,0.650430,0.648587,0.646745,0.644902,0.643060
Itasy,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.789853,0.782970,0.776088,0.769205,0.762323,0.755440,0.748558,0.741675,0.734792,0.727910,0.721027,0.714145,0.707262,0.700380,0.693497,0.686615,0.679732,0.672850,0.665967,0.659085,0.652202,0.645320,0.638437,0.631555,0.624672,0.623363,0.622054,0.620746,0.619437,0.618128,0.616819,0.615510,0.614202,0.612893,0.611584,0.610275,0.608966,0.607658,0.606349,0.605040,0.603731,0.602422,0.601114,0.599805,0.598496,0.597187,0.595878,0.594570,0.593261,0.591952,0.590643,0.589334,0.588026,0.586717,0.585408,0.584099,0.582790,0.581482,0.580173,0.578864
Vakinankaratra,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.869386,0.864121,0.858857,0.853593,0.848328,0.843064,0.837799,0.832535,0.827271,0.822006,0.816742,0.811477,0.806213,0.800949,0.795684,0.790420,0.785155,0.779891,0.774627,0.769362,0.764098,0.758833,0.753569,0.748305,0.743040,0.741386,0.739731,0.738077,0.736422,0.734768,0.733113,0.731459,0.729805,0.728150,0.726496,0.724841,0.723187,0.721532,0.719878,0.718223,0.716569,0.714914,0.713260,0.711605,0.709951,0.708297,0.706642,0.704988,0.703333,0.701679,0.700024,0.698370,0.696715,0.695061,0.693406,0.691752,0.690097,0.688443,0.686788,0.685134
Diana,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.794434,0.793148,0.791862,0.790576,0.789290,0.788004,0.786719,0.785433,0.784147,0.782861,0.781575,0.780289,0.779003,0.777717,0.776431,0.775145,0.773859,0.772573,0.771287,0.770002,0.768716,0.767430,0.766144,0.764858,0.763572,0.762296,0.761019,0.759743,0.758467,0.757190,0.755914,0.754638,0.753361,0.752085,0.750809,0.749533,0.748256,0.746980,0.745704,0.744427,0.743151,0.741875,0.740598,0.739322,0.738046,0.736770,0.735493,0.734217,0.732941,0.731664,0.730388,0.729112,0.727835,0.726559,0.725283,0.724007,0.722730,0.721454,0.720178,0.718901
Sava,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858805,0.859513,0.860221,0.860930,0.861638,0.862346,0.863055,0.863763,0.864471,0.865179,0.865888,0.866596,0.867304,0.868013,0.868721,0.869429,0.870137,0.870846,0.871554,0.872262,0.872971,0.873679,0.874387,0.875095,0.875804,0.874572,0.873340,0.872108,0.870877,0.869645,0.868413,0.867181,0.865950,0.864718,0.863486,0.862254,0.861023,0.859791,0.858559,0.857327,0.856096,0.854864,0.853632,0.852400,0.851169,0.849937,0.848705,0.847473,0.846241,0.845010,0.843778,0.842546,0.841314,0.840083,0.838851,0.837619,0.836387,0.835156,0.833924,0.832692
Amoron'i mania,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.797318,0.794119,0.790920,0.787721,0.784521,0.781322,0.778123,0.774924,0.771725,0.768525,0.765326,0.762127,0.758928,0.755729,0.752529,0.749330,0.746131,0.742932,0.739733,0.736533,0.733334,0.730135,0.726936,0.723737,0.720537,0.718361,0.716185,0.714009,0.711833,0.709657,0.707481,0.705304,0.703128,0.700952,0.698776,0.696600,0.694424,0.692248,0.690072,0.687895,0.685719,0.683543,0.681367,0.679191,0.677015,0.674839,0.672662,0.670486,0.668310,0.666134,0.663958,0.661782,0.659606,0.657429,0.655253,0.653077,0.650901,0.648725,0.646549,0.644373
Atsimo-Atsinana,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.932475,0.931247,0.930019,0.928791,0.927563,0.926335,0.925107,0.923879,0.922651,0.921424,0.920196,0.918968,0.917740,0.916512,0.915284,0.914056,0.912828,0.911600,0.910372,0.909145,0.907917,0.906689,0.905461,0.904233,0.903005,0.900971,0.898937,0.896903,0.894870,0.892836,0.890802,0.888768,0.886734,0.884700,0.882666,0.880632,0.878599,0.876565,0.874531,0.872497,0.870463,0.868429,0.866395,0.864361,0.862327,0.860294,0.858260,0.856226,0.854192,0.852158,0.850124,0.848090,0.846056,0.844023,0.841989,0.839955,0.837921,0.835887,0.833853,0.831819
Haute matsiatra,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.700632,0.696896,0.693159,0.689423,0.685687,0.681951,0.678215,0.674479,0.670743,0.667007,0.663270,0.659534,0.655798,0.652062,0.648326,0.644590,0.640854,0.637117,0.633381,0.629645,0.625909,0.622173,0.618437,0.614701,0.610965,0.608271,0.605578,0.602884,0.600191,0.597497,0.594804,0.592110,0.589417,0.586723,0.584030,0.581336,0.578643,0.575949,0.573256,0.570562,0.567869,0.565175,0.562482,0.559789,0.557095,0.554402,0.551708,0.549015,0.546321,0.543628,0.540934,0.538241,0.535547,0.532854,0.530160,0.527467,0.524773,0.522080,0.519386,0.516693
Ihorombe,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.710404,0.707450,0.704495,0.701541,0.698587,0.695633,0.692678,0.689724,0.686770,0.683816,0.680861,0.677907,0.674953,0.671999,0.669044,0.666090,0.663136,0.660182,0.657227,0.654273,0.651319,0.648365,0.645410,0.642456,0.639502,0.637280,0.635057,0.632835,0.630613,0.628391,0.626169,0.623947,0.621725,0.619502,0.617280,0.615058,0.612836,0.610614,0.608392,0.606170,0.603947,0.601725,0.599503,0.597281,0.595059,0.592837,0.590615,0.588392,0.586170,0.583948,0.581726,0.579504,0.577282,0.575060,0.572838,0.570615,0.568393,0.566171,0.563949,0.561727
