NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Analamanga,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.880452,0.878421,0.876391,0.874361,0.872331,0.870301,0.868271,0.866241,0.864210,0.862180,0.860150,0.858120,0.856090,0.854060,0.852030,0.850000,0.847969,0.845939,0.843909,0.841879,0.839849,0.837819,0.835789,0.833758,0.831728,0.829239,0.826750,0.824260,0.821771,0.819282,0.816793,0.814303,0.811814,0.809325,0.806835,0.804346,0.801857,0.799368,0.796878,0.794389,0.791900,0.789410,0.786921,0.784432,0.781942,0.779453,0.776964,0.774475,0.771985,0.769496,0.767007,0.764517,0.762028,0.759539,0.757049,0.754560,0.752071,0.749582,0.747092,0.744603
Bongolava,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.866897,0.862985,0.859072,0.855160,0.851248,0.847335,0.843423,0.839511,0.835598,0.831686,0.827773,0.823861,0.819949,0.816036,0.812124,0.808212,0.804299,0.800387,0.796474,0.792562,0.788650,0.784737,0.780825,0.776913,0.773000,0.771830,0.770659,0.769489,0.768318,0.767148,0.765977,0.764807,0.763636,0.762466,0.761295,0.760125,0.758954,0.757784,0.756613,0.755443,0.754272,0.753102,0.751931,0.750761,0.749590,0.748420,0.747249,0.746079,0.744908,0.743738,0.742568,0.741397,0.740227,0.739056,0.737886,0.736715,0.735545,0.734374,0.733204,0.732033
Itasy,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.836572,0.832305,0.828039,0.823772,0.819506,0.815239,0.810972,0.806706,0.802439,0.798173,0.793906,0.789640,0.785373,0.781106,0.776840,0.772573,0.768307,0.764040,0.759773,0.755507,0.751240,0.746974,0.742707,0.738440,0.734174,0.732643,0.731112,0.729580,0.728049,0.726518,0.724987,0.723456,0.721925,0.720394,0.718862,0.717331,0.715800,0.714269,0.712738,0.711207,0.709676,0.708144,0.706613,0.705082,0.703551,0.702020,0.700489,0.698958,0.697427,0.695895,0.694364,0.692833,0.691302,0.689771,0.688240,0.686709,0.685177,0.683646,0.682115,0.680584
Vakinankaratra,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.896712,0.894501,0.892290,0.890079,0.887868,0.885657,0.883446,0.881235,0.879024,0.876812,0.874601,0.872390,0.870179,0.867968,0.865757,0.863546,0.861335,0.859124,0.856913,0.854702,0.852490,0.850279,0.848068,0.845857,0.843646,0.842573,0.841501,0.840428,0.839355,0.838282,0.837210,0.836137,0.835064,0.833992,0.832919,0.831846,0.830773,0.829701,0.828628,0.827555,0.826482,0.825410,0.824337,0.823264,0.822191,0.821119,0.820046,0.818973,0.817901,0.816828,0.815755,0.814682,0.813610,0.812537,0.811464,0.810391,0.809319,0.808246,0.807173,0.806100
Diana,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.948775,0.948438,0.948101,0.947764,0.947427,0.947090,0.946753,0.946416,0.946079,0.945742,0.945405,0.945068,0.944731,0.944394,0.944057,0.943720,0.943382,0.943045,0.942708,0.942371,0.942034,0.941697,0.941360,0.941023,0.940686,0.940454,0.940221,0.939988,0.939756,0.939523,0.939291,0.939058,0.938826,0.938593,0.938361,0.938128,0.937895,0.937663,0.937430,0.937198,0.936965,0.936733,0.936500,0.936267,0.936035,0.935802,0.935570,0.935337,0.935105,0.934872,0.934640,0.934407,0.934174,0.933942,0.933709,0.933477,0.933244,0.933012,0.932779,0.932547
Sava,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965605,0.965313,0.965020,0.964727,0.964435,0.964142,0.963849,0.963557,0.963264,0.962971,0.962679,0.962386,0.962094,0.961801,0.961508,0.961216,0.960923,0.960630,0.960338,0.960045,0.959752,0.959460,0.959167,0.958874,0.958582,0.958434,0.958286,0.958137,0.957989,0.957841,0.957693,0.957545,0.957397,0.957249,0.957101,0.956953,0.956805,0.956657,0.956509,0.956361,0.956212,0.956064,0.955916,0.955768,0.955620,0.955472,0.955324,0.955176,0.955028,0.954880,0.954732,0.954584,0.954435,0.954287,0.954139,0.953991,0.953843,0.953695,0.953547,0.953399
Amoron'i mania,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920145,0.919932,0.919719,0.919506,0.919293,0.919080,0.918867,0.918654,0.918441,0.918228,0.918015,0.917802,0.917589,0.917376,0.917163,0.916950,0.916737,0.916524,0.916311,0.916098,0.915885,0.915672,0.915459,0.915246,0.915034,0.914026,0.913019,0.912012,0.911005,0.909998,0.908991,0.907984,0.906977,0.905970,0.904963,0.903956,0.902949,0.901942,0.900935,0.899928,0.898921,0.897914,0.896907,0.895900,0.894893,0.893886,0.892879,0.891872,0.890865,0.889858,0.888851,0.887844,0.886837,0.885830,0.884822,0.883815,0.882808,0.881801,0.880794,0.879787
Atsimo-Atsinana,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978151,0.977593,0.977034,0.976476,0.975917,0.975359,0.974801,0.974242,0.973684,0.973126,0.972567,0.972009,0.971450,0.970892,0.970334,0.969775,0.969217,0.968659,0.968100,0.967542,0.966983,0.966425,0.965867,0.965308,0.964750,0.964448,0.964147,0.963845,0.963543,0.963242,0.962940,0.962638,0.962337,0.962035,0.961733,0.961432,0.961130,0.960828,0.960527,0.960225,0.959923,0.959622,0.959320,0.959018,0.958717,0.958415,0.958113,0.957812,0.957510,0.957208,0.956907,0.956605,0.956304,0.956002,0.955700,0.955399,0.955097,0.954795,0.954494,0.954192
Haute matsiatra,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.900889,0.900349,0.899809,0.899269,0.898729,0.898190,0.897650,0.897110,0.896570,0.896031,0.895491,0.894951,0.894411,0.893872,0.893332,0.892792,0.892252,0.891713,0.891173,0.890633,0.890093,0.889554,0.889014,0.888474,0.887934,0.885874,0.883814,0.881753,0.879693,0.877633,0.875572,0.873512,0.871452,0.869391,0.867331,0.865271,0.863210,0.861150,0.859090,0.857029,0.854969,0.852909,0.850848,0.848788,0.846727,0.844667,0.842607,0.840546,0.838486,0.836426,0.834365,0.832305,0.830245,0.828184,0.826124,0.824064,0.822003,0.819943,0.817883,0.815822
Ihorombe,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.873963,0.872662,0.871361,0.870060,0.868759,0.867458,0.866158,0.864857,0.863556,0.862255,0.860954,0.859653,0.858352,0.857051,0.855751,0.854450,0.853149,0.851848,0.850547,0.849246,0.847945,0.846644,0.845343,0.844043,0.842742,0.840893,0.839045,0.837197,0.835349,0.833500,0.831652,0.829804,0.827956,0.826108,0.824259,0.822411,0.820563,0.818715,0.816866,0.815018,0.813170,0.811322,0.809473,0.807625,0.805777,0.803929,0.802080,0.800232,0.798384,0.796536,0.794688,0.792839,0.790991,0.789143,0.787295,0.785446,0.783598,0.781750,0.779902,0.778053
