NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Vatovavy Fitovinany,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.938350,0.934617,0.930885,0.927152,0.923420,0.919688,0.915955,0.912223,0.908491,0.904758,0.901026,0.897293,0.893561,0.889829,0.886096,0.882364,0.878632,0.874899,0.871167,0.867434,0.863702,0.859970,0.856237,0.852505,0.848773,0.845040,0.844297,0.843554,0.842811,0.842068,0.841325,0.840582,0.839838,0.839095,0.838352,0.837609,0.836866,0.836123,0.835380,0.834637,0.833894,0.833150,0.832407,0.831664,0.830921,0.830178,0.829435,0.828692,0.827949,0.827206,0.826462,0.825719,0.824976,0.824233,0.823490,0.822747,0.822004,0.821261,0.820518,0.819774,0.819031
Betsiboka,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.888201,0.884348,0.880496,0.876643,0.872791,0.868938,0.865086,0.861233,0.857381,0.853528,0.849676,0.845823,0.841971,0.838118,0.834266,0.830413,0.826561,0.822708,0.818856,0.815003,0.811151,0.807298,0.803446,0.799594,0.795741,0.791889,0.790433,0.788977,0.787522,0.786066,0.784610,0.783155,0.781699,0.780243,0.778788,0.777332,0.775877,0.774421,0.772965,0.771510,0.770054,0.768598,0.767143,0.765687,0.764231,0.762776,0.761320,0.759864,0.758409,0.756953,0.755498,0.754042,0.752586,0.751131,0.749675,0.748219,0.746764,0.745308,0.743852,0.742397,0.740941
Boeny,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.881938,0.878397,0.874856,0.871316,0.867775,0.864234,0.860693,0.857152,0.853612,0.850071,0.846530,0.842989,0.839449,0.835908,0.832367,0.828826,0.825286,0.821745,0.818204,0.814663,0.811122,0.807582,0.804041,0.800500,0.796959,0.793419,0.791476,0.789533,0.787591,0.785648,0.783705,0.781763,0.779820,0.777877,0.775935,0.773992,0.772049,0.770107,0.768164,0.766221,0.764279,0.762336,0.760393,0.758451,0.756508,0.754565,0.752623,0.750680,0.748737,0.746795,0.744852,0.742910,0.740967,0.739024,0.737082,0.735139,0.733196,0.731254,0.729311,0.727368,0.725426
Melaky,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.885672,0.883241,0.880810,0.878379,0.875948,0.873517,0.871086,0.868655,0.866224,0.863793,0.861362,0.858931,0.856500,0.854069,0.851637,0.849206,0.846775,0.844344,0.841913,0.839482,0.837051,0.834620,0.832189,0.829758,0.827327,0.824896,0.822898,0.820901,0.818904,0.816907,0.814909,0.812912,0.810915,0.808918,0.806920,0.804923,0.802926,0.800929,0.798931,0.796934,0.794937,0.792939,0.790942,0.788945,0.786948,0.784950,0.782953,0.780956,0.778959,0.776961,0.774964,0.772967,0.770970,0.768972,0.766975,0.764978,0.762980,0.760983,0.758986,0.756989,0.754991
Sofia,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.903976,0.901809,0.899641,0.897474,0.895306,0.893139,0.890972,0.888804,0.886637,0.884470,0.882302,0.880135,0.877968,0.875800,0.873633,0.871466,0.869298,0.867131,0.864964,0.862796,0.860629,0.858462,0.856294,0.854127,0.851960,0.849792,0.848613,0.847433,0.846253,0.845073,0.843894,0.842714,0.841534,0.840355,0.839175,0.837995,0.836816,0.835636,0.834456,0.833277,0.832097,0.830917,0.829738,0.828558,0.827378,0.826199,0.825019,0.823839,0.822659,0.821480,0.820300,0.819120,0.817941,0.816761,0.815581,0.814402,0.813222,0.812042,0.810863,0.809683,0.808503
Alaotra-Mangoro,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.902031,0.898868,0.895705,0.892542,0.889379,0.886215,0.883052,0.879889,0.876726,0.873563,0.870400,0.867237,0.864074,0.860910,0.857747,0.854584,0.851421,0.848258,0.845095,0.841932,0.838769,0.835606,0.832442,0.829279,0.826116,0.822953,0.821999,0.821044,0.820090,0.819135,0.818181,0.817226,0.816272,0.815317,0.814363,0.813409,0.812454,0.811500,0.810545,0.809591,0.808636,0.807682,0.806727,0.805773,0.804818,0.803864,0.802910,0.801955,0.801001,0.800046,0.799092,0.798137,0.797183,0.796228,0.795274,0.794319,0.793365,0.792411,0.791456,0.790502,0.789547
Analanjirofo,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.929044,0.928830,0.928617,0.928403,0.928189,0.927976,0.927762,0.927548,0.927335,0.927121,0.926908,0.926694,0.926480,0.926267,0.926053,0.925839,0.925626,0.925412,0.925199,0.924985,0.924771,0.924558,0.924344,0.924130,0.923917,0.923703,0.922575,0.921448,0.920320,0.919192,0.918064,0.916936,0.915809,0.914681,0.913553,0.912425,0.911298,0.910170,0.909042,0.907914,0.906786,0.905659,0.904531,0.903403,0.902275,0.901148,0.900020,0.898892,0.897764,0.896636,0.895509,0.894381,0.893253,0.892125,0.890997,0.889870,0.888742,0.887614,0.886486,0.885359,0.884231
Atsinanana,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.898761,0.897041,0.895321,0.893600,0.891880,0.890160,0.888440,0.886719,0.884999,0.883279,0.881559,0.879839,0.878118,0.876398,0.874678,0.872958,0.871238,0.869517,0.867797,0.866077,0.864357,0.862637,0.860916,0.859196,0.857476,0.855756,0.855099,0.854443,0.853787,0.853130,0.852474,0.851818,0.851161,0.850505,0.849849,0.849192,0.848536,0.847879,0.847223,0.846567,0.845910,0.845254,0.844598,0.843941,0.843285,0.842628,0.841972,0.841316,0.840659,0.840003,0.839347,0.838690,0.838034,0.837378,0.836721,0.836065,0.835408,0.834752,0.834096,0.833439,0.832783
Androy,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.891978,0.887294,0.882611,0.877927,0.873244,0.868560,0.863877,0.859194,0.854510,0.849827,0.845143,0.840460,0.835776,0.831093,0.826409,0.821726,0.817042,0.812359,0.807675,0.802992,0.798308,0.793625,0.788941,0.784258,0.779574,0.774891,0.772359,0.769826,0.767294,0.764762,0.762230,0.759698,0.757165,0.754633,0.752101,0.749569,0.747037,0.744504,0.741972,0.739440,0.736908,0.734375,0.731843,0.729311,0.726779,0.724247,0.721714,0.719182,0.716650,0.714118,0.711586,0.709053,0.706521,0.703989,0.701457,0.698925,0.696392,0.693860,0.691328,0.688796,0.686263
Anosy,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.878735,0.875282,0.871829,0.868377,0.864924,0.861471,0.858019,0.854566,0.851114,0.847661,0.844208,0.840756,0.837303,0.833850,0.830398,0.826945,0.823492,0.820040,0.816587,0.813135,0.809682,0.806229,0.802777,0.799324,0.795871,0.792419,0.791513,0.790608,0.789703,0.788798,0.787892,0.786987,0.786082,0.785177,0.784271,0.783366,0.782461,0.781556,0.780650,0.779745,0.778840,0.777935,0.777030,0.776124,0.775219,0.774314,0.773409,0.772503,0.771598,0.770693,0.769788,0.768882,0.767977,0.767072,0.766167,0.765261,0.764356,0.763451,0.762546,0.761640,0.760735
Atsimo-Andrefana,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.768313,0.758618,0.748924,0.739229,0.729535,0.719840,0.710146,0.700451,0.690757,0.681062,0.671368,0.661673,0.651979,0.642284,0.632590,0.622895,0.613201,0.603506,0.593812,0.584117,0.574423,0.564728,0.555034,0.545339,0.535645,0.525950,0.523020,0.520089,0.517158,0.514228,0.511297,0.508367,0.505436,0.502506,0.499575,0.496644,0.493714,0.490783,0.487853,0.484922,0.481992,0.479061,0.476130,0.473200,0.470269,0.467339,0.464408,0.461478,0.458547,0.455616,0.452686,0.449755,0.446825,0.443894,0.440964,0.438033,0.435102,0.432172,0.429241,0.426311,0.423380
Menabe,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.820253,0.814705,0.809157,0.803609,0.798061,0.792513,0.786964,0.781416,0.775868,0.770320,0.764772,0.759224,0.753676,0.748128,0.742579,0.737031,0.731483,0.725935,0.720387,0.714839,0.709291,0.703742,0.698194,0.692646,0.687098,0.681550,0.679327,0.677105,0.674882,0.672660,0.670437,0.668215,0.665992,0.663769,0.661547,0.659324,0.657102,0.654879,0.652657,0.650434,0.648211,0.645989,0.643766,0.641544,0.639321,0.637099,0.634876,0.632654,0.630431,0.628208,0.625986,0.623763,0.621541,0.619318,0.617096,0.614873,0.612650,0.610428,0.608205,0.605983,0.603760
