t,agentID,homeLoc,candLoc,candIdx,isHome,layers,nLayers,value,familiarity,attachPenFrac,movingCost,creditBlocked,distressMode
12,9,19,14,1,0,school,1,-9.62776141230854,0,0.0529072730892803,4.40814542868653,1,0
12,9,19,15,1,0,unskilled1|school,2,17.421897130447,0,0.0529072730892803,6.26673007784706,1,0
12,9,19,15,2,0,unskilled1|school|maize,3,74.8194948371761,0,0.0529072730892803,6.26673007784706,1,0
12,9,19,19,1,1,cassava,1,29.6228370412848,0.0600000000000001,0.0497328367039235,0,0,0
12,9,19,21,1,0,industrial_crop,1,-5.22829722330065,0.433701792750795,0.0299612939009036,0.975448356296928,1,0
12,209,21,10,1,0,unskilled1|school|rice_south,3,44.4724315971931,0.164567264250265,0.106440640725632,0.816923115436115,1,0
12,209,21,10,2,0,rice_south|maize,2,-17.5561429106343,0.03,0.123585558819653,0.816923115436115,1,0
12,209,21,21,1,1,school,1,2.02498869082925,0.0600000000000001,0.119763325041726,0,1,0
12,209,21,21,2,1,unskilled1|school,2,-16.8818562812671,0.246850896375397,0.0959570647896571,0,1,0
12,209,21,21,3,1,unskilled1|school|maize,3,69.2655624137724,0.184567264250265,0.10389248487368,0,1,0
12,170,19,12,1,0,maize,1,-264.98484399841,0.0600000000000001,0.322105799518011,4.82187045974003,1,0
12,170,19,14,1,0,(none),0,-197.948482477158,NaN,0,4.40814542868653,1,0
12,170,19,19,1,1,school,1,203.031138027248,0,0.342665744168097,0,1,0
12,170,19,19,2,1,maize,1,365.748350464638,0.0600000000000001,0.322105799518011,0,1,0
12,170,19,19,3,1,unskilled1|maize,2,1148.69456268091,0.246850896375397,0.258078398063059,0,0,0
12,105,19,12,1,0,unskilled1|school,2,9.18908413098538,0.246850896375397,0.0782862730606242,4.82187045974003,1,0
12,105,19,12,2,0,maize|cassava,2,-18.916197564598,0.03,0.100826894041762,4.82187045974003,1,0
12,105,19,15,1,0,unskilled1|school,2,21.2722146701244,0.246850896375397,0.0782862730606242,6.26673007784706,1,0
12,105,19,15,2,0,unskilled1|rice_north,2,20.0582174027687,0.216850896375397,0.0814046306083076,6.26673007784706,1,0
12,105,19,15,3,0,unskilled1|school|rice_north,3,21.0748203007998,0.164567264250265,0.0868392659035644,6.26673007784706,1,0
12,105,19,19,1,1,unskilled1|school,2,18.5232880165518,0.246850896375397,0.0782862730606242,0,1,0
12,105,19,19,2,1,unskilled1|maize,2,63.1294069357442,0.246850896375397,0.0782862730606242,0,1,0
12,105,19,19,3,1,unskilled1|school|maize,3,84.0146207468355,0.184567264250265,0.0847603608717755,0,1,0
12,50,19,6,1,0,school,1,-3.21826034830884,0.0600000000000001,0.412512105810574,7.26621854429024,1,0
12,50,19,6,2,0,unskilled1|cassava,2,16.7692814391171,0,0.43884266575593,7.26621854429024,1,0
12,50,19,6,3,0,unskilled1|maize|industrial_crop,3,18.5480883144075,0.02,0.430065812440811,7.26621854429024,1,0
12,50,19,6,4,0,maize|cassava|industrial_crop,3,13.0805708263198,0.02,0.430065812440811,7.26621854429024,1,0
12,50,19,17,1,0,unskilled1|rice_north,2,14.77035090642,0,0.43884266575593,5.87097484302806,1,0
12,50,19,17,2,0,unskilled1|maize|industrial_crop,3,18.1338901780815,0.02,0.430065812440811,5.87097484302806,1,0
12,50,19,17,3,0,rice_north|maize|industrial_crop,3,12.6261061252952,0.02,0.430065812440811,5.87097484302806,1,0
12,50,19,19,1,1,school,1,0.255715956936465,0.0600000000000001,0.412512105810574,0,1,0
12,50,19,19,2,1,unskilled1|school|maize,3,38.8568316191546,0.04,0.421288959125692,0,0,0
12,28,19,2,1,0,rice_south|maize,2,91.9317284391264,0.03,0.448226254102427,3.83335032188515,1,0
12,28,19,2,2,0,maize|cassava,2,94.2414051998653,0.0600000000000001,0.434363586449775,3.83335032188515,1,0
12,28,19,13,1,0,maize|cassava,2,-28.4683163518184,0.0600000000000001,0.434363586449775,5.38934368858886,1,0
12,28,19,19,1,1,maize|cassava,2,103.797693066901,0.0600000000000001,0.434363586449775,0,1,0
12,28,19,19,2,1,maize|cassava|industrial_crop,3,102.403510894948,0.04,0.443605364884876,0,0,0
12,56,20,15,1,0,school,1,-14.0790514445831,0.0600000000000001,0.342985578957755,5.58221331206534,1,0
12,56,20,15,2,0,unskilled1|school,2,19.7320134097781,0.03,0.353931927222365,5.58221331206534,1,0
12,56,20,19,1,0,unskilled1|school,2,4.11583131286619,0.03,0.353931927222365,0.394181382218978,1,0
12,56,20,19,2,0,unskilled1|cassava,2,4.0460966752214,0,0.364878275486974,0.394181382218978,1,0
12,56,20,19,3,0,unskilled1|industrial_crop,2,1.86592404658163,0,0.364878275486974,0.394181382218978,1,0
12,56,20,19,4,0,cassava|industrial_crop,2,-2.26936249576335,0,0.364878275486974,0.394181382218978,1,0
12,56,20,20,1,1,school,1,20.4096457127746,0.0600000000000001,0.342985578957755,0,1,0
12,56,20,20,2,1,unskilled1|school,2,9.03457188053391,0.03,0.353931927222365,0,1,0
12,56,20,20,3,1,unskilled1|maize,2,53.8130491717699,0.03,0.353931927222365,0,1,0
12,56,20,20,4,1,unskilled1|school|maize,3,64.3238301490711,0.04,0.350283144467495,0,0,0
12,56,20,20,5,1,unskilled1|maize|industrial_crop,3,62.8512738644725,0.02,0.357580709977234,0,0,0
12,181,19,7,1,0,unskilled1|school,2,96.6904411118985,0.216850896375397,0.123245204925769,2.63437047997659,1,0
12,181,19,18,1,0,maize,1,-31.9382422188059,0,0.157371315826528,4.03360845871253,1,0
12,181,19,19,1,1,cassava,1,-30.6996484762516,0.0600000000000001,0.147929036876936,0,1,0
12,181,19,19,2,1,unskilled1|cassava,2,-29.9132564108612,0.246850896375397,0.118524065450974,0,1,0
12,181,19,19,3,1,unskilled1|industrial_crop,2,0,0.433701792750795,0.0891190940250111,0,0,0
12,181,19,19,4,1,cassava|industrial_crop,2,0,0.246850896375397,0.118524065450974,0,0,0
12,163,20,17,1,0,unskilled1|cassava,2,28.2665086032802,0.216850896375397,0.383233232668662,5.13722616993322,1,0
12,163,20,17,2,0,unskilled1|vanilla,2,29.403948390139,0.216850896375397,0.383233232668662,5.13722616993322,1,0
12,163,20,17,3,0,cassava|vanilla,2,-25.8036585276201,0,0.489349002501524,5.13722616993322,1,0
12,163,20,17,4,0,cassava|industrial_crop,2,27.2763734973832,0.216850896375397,0.383233232668662,5.13722616993322,1,0
12,163,20,19,1,0,unskilled1|school,2,23.8134845731284,0.216850896375397,0.383233232668662,0.394181382218978,1,0
12,163,20,20,1,1,maize,1,27.0415994550109,0.0600000000000001,0.459988062351432,0,1,0
12,163,20,20,2,1,unskilled1|school|maize,3,56.4160075890152,0.164567264250265,0.408818175896252,0,0,0
12,46,20,7,1,0,unskilled1|cassava,2,28.8664846805807,0,0.289447189470562,1.97261349381382,1,0
12,46,20,7,2,0,unskilled1|maize|industrial_crop,3,34.1411187615791,0.04,0.277869301891739,1.97261349381382,1,0
12,46,20,7,3,0,maize|cassava|industrial_crop,3,27.0470580012414,0.04,0.277869301891739,1.97261349381382,1,0
12,46,20,8,1,0,unskilled1|school,2,26.853852004586,0,0.289447189470562,0.423608832145277,1,0
12,46,20,8,2,0,unskilled1|maize,2,2.48710244634086,0.03,0.280763773786445,0.423608832145277,1,0
12,46,20,8,3,0,unskilled1|maize|industrial_crop,3,30.5664727148621,0.04,0.277869301891739,0.423608832145277,1,0
12,46,20,16,1,0,unskilled1|school,2,-5.45726753649757,0,0.289447189470562,3.92293233555591,1,0
12,46,20,16,2,0,rice_north|cassava,2,10.5248388999169,0,0.289447189470562,3.92293233555591,1,0
12,46,20,16,3,0,cassava|industrial_crop,2,39.230071979202,0.03,0.280763773786445,3.92293233555591,1,0
12,46,20,20,1,1,unskilled1|school,2,27.6501623985317,0,0.289447189470562,0,1,0
12,46,20,20,2,1,unskilled1|cassava,2,58.5517099623971,0,0.289447189470562,0,1,0
12,46,20,20,3,1,unskilled1|maize|industrial_crop,3,71.6583795548546,0.04,0.277869301891739,0,0,0
13,163,20,5,1,0,school,1,-25.8774587429498,0.0600000000000001,0.459988062351432,6.98830882078349,1,0
13,163,20,5,2,0,unskilled1|cassava,2,43.8503127932524,0.203839842592873,0.389600178858634,6.98830882078349,1,0
13,163,20,5,3,0,unskilled1|school|industrial_crop,3,48.9159033695197,0.291786456790498,0.34656359092764,6.98830882078349,1,0
