year,agentID,loc,isAg,agYF,buf_start,after_mortality,after_growth,gap,drawdown,accrual,buf_end,wealth_start,wealth_end,ag_income,farmGranted
1985,18,21,1,1,3.5,3.5,3.92,5.83039368596429,2.52,0,1.4,-5.9244440849961,-10.1168377709604,0.502793296089385,1
1985,27,21,1,1,3.5,3.5,3.92,6.15617535458759,2.52,0,1.4,-6.25435158891366,-10.7725269435012,0.502793296089385,1
1985,48,21,1,1,3.5,3.5,3.92,6.11968221246207,2.52,0,1.4,-6.22511711894706,-10.7067993314091,0.502793296089385,1
1985,49,19,1,0.72212305,3.5,3.2082292025,3.5932167068,8.94513865,1.89611257682737,0,1.4,-8.94513865,-16.7617905705526,0,1
1985,58,21,1,1,3.5,3.5,3.92,6.15617535458759,2.52,0,1.4,-6.25435158891366,-10.7725269435012,0.502793296089385,1
1985,78,21,1,1,3.5,3.5,3.92,6.11968221246207,2.52,0,1.4,-6.22511711894706,-10.7067993314091,0.502793296089385,1
1985,86,20,1,0.73293475,3.5,3.2195814875,3.605931266,8.12089524800655,1.91873156829441,0,1.4,-8.00306558511218,-14.9773052079243,0.363597540584416,1
1985,102,19,1,0.72212305,3.5,3.2082292025,3.5932167068,8.94513865,1.89611257682737,0,1.4,-8.94513865,-16.7617905705526,0,1
1985,104,21,1,1,3.5,3.5,3.92,5.83039368596429,2.52,0,1.4,-5.9244440849961,-10.1168377709604,0.502793296089385,1
1985,106,21,1,1,3.5,3.5,3.92,6.11968221246207,2.52,0,1.4,-6.22511711894706,-10.7067993314091,0.502793296089385,1
1985,108,20,1,0.73293475,3.5,3.2195814875,3.605931266,8.16428348065741,1.91873156829441,0,1.4,-8.06524771334867,-15.0828755688117,0.363597540584416,1
1985,128,21,1,1,3.5,3.5,3.92,5.83039368596429,2.52,0,1.4,-5.9244440849961,-10.1168377709604,0.502793296089385,1
1985,151,21,1,1,3.5,3.5,3.92,5.83039368596429,2.52,0,1.4,-5.9244440849961,-10.1168377709604,0.502793296089385,1
1985,162,20,1,0.73293475,3.5,3.2195814875,3.605931266,8.12089524800655,1.91873156829441,0,1.4,-8.00306558511218,-14.9773052079243,0.363597540584416,1
