quarter,year,agentID,loc,lastYearIncome,baselineIncome,dropThreshold,incomeShock,lastShortfall,historyOK,cooldownOK,fired,movedTo
11,1985,49,19,NaN,NaN,NaN,0,6.83572054396151,1,1,1,21
11,1985,1021,19,NaN,NaN,NaN,0,6.83572054396151,1,1,1,21
11,1985,501,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,6
11,1985,593,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,4
11,1985,48,21,NaN,NaN,NaN,0,3.59968221246207,1,1,1,20
11,1985,1150,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,7
11,1985,151,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,22
11,1985,1024,19,NaN,NaN,NaN,0,6.83572054396151,1,1,0,0
11,1985,858,19,NaN,NaN,NaN,0,6.83572054396151,1,1,1,12
11,1985,607,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,7
11,1985,769,20,NaN,NaN,NaN,0,5.81164010509457,1,1,1,13
11,1985,1535,21,NaN,NaN,NaN,0,3.31039368596429,1,1,0,0
11,1985,104,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,3
11,1985,1448,21,NaN,NaN,NaN,0,3.63617535458759,1,1,1,18
11,1985,18,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,9
11,1985,108,20,NaN,NaN,NaN,0,6.03935725760001,1,1,1,12
11,1985,389,19,NaN,NaN,NaN,0,6.83572054396151,1,1,1,3
11,1985,1240,20,NaN,NaN,NaN,0,5.81164010509457,1,1,1,5
11,1985,78,21,NaN,NaN,NaN,0,3.59968221246207,1,1,1,3
11,1985,1229,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,10
11,1985,310,21,NaN,NaN,NaN,0,3.59968221246207,1,1,1,13
11,1985,1341,21,NaN,NaN,NaN,0,3.63617535458759,1,1,1,3
11,1985,372,21,NaN,NaN,NaN,0,3.63617535458759,1,1,1,13
11,1985,1479,20,NaN,NaN,NaN,0,5.99596902494915,1,1,1,5
11,1985,1149,20,NaN,NaN,NaN,0,5.99596902494915,1,1,0,0
11,1985,595,20,NaN,NaN,NaN,0,5.81164010509457,1,1,1,12
11,1985,1391,21,NaN,NaN,NaN,0,3.59968221246207,1,1,0,0
11,1985,1132,21,NaN,NaN,NaN,0,3.63617535458759,1,1,1,18
11,1985,1038,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,4
11,1985,1170,20,NaN,NaN,NaN,0,6.03935725760001,1,1,1,11
11,1985,382,21,NaN,NaN,NaN,0,3.59968221246207,1,1,1,15
11,1985,1003,21,NaN,NaN,NaN,0,3.63617535458759,1,1,0,0
11,1985,907,21,NaN,NaN,NaN,0,3.63617535458759,1,1,1,5
11,1985,58,21,NaN,NaN,NaN,0,3.63617535458759,1,1,1,8
11,1985,541,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,8
11,1985,1268,20,NaN,NaN,NaN,0,6.03935725760001,1,1,1,21
11,1985,776,20,NaN,NaN,NaN,0,5.99596902494915,1,1,1,11
11,1985,86,20,NaN,NaN,NaN,0,5.99596902494915,1,1,1,16
11,1985,102,19,NaN,NaN,NaN,0,6.83572054396151,1,1,0,0
11,1985,1457,21,NaN,NaN,NaN,0,3.31039368596429,1,1,1,3
11,1985,444,20,NaN,NaN,NaN,0,5.81164010509457,1,1,1,11
11,1985,253,21,NaN,NaN,NaN,0,3.59968221246207,1,1,1,15
